SECTEUR,NOM SITE,N°SECTEUR COMPTAGE,NPOINT,OBSERVATEUR 1,OBSERVATEUR 2,DATE,HEURE DEBUT,COUV NUAGE,PLUIE,VENT,VISI,DENEIGEMT,ESPECE,NB05,NB510,NB100,NB1015,MAX10,Liste espèces
Valgaudemar,Tirière,,6,Vincent Dominique,Huchon Florence,21/06/2021,8h40,1,1,1,1,100,Monticole de roche,,,1,,,Perdrix grise
Valgaudemar,Tirière,,6,Vincent Dominique,Huchon Florence,21/06/2021,8h40,1,1,1,1,100,Pipit spioncelle,1,1,,,,Pie-grieche ecorcheur
Valgaudemar,Tirière,,6,Vincent Dominique,Huchon Florence,21/06/2021,8h40,1,1,1,1,100,Rouge-queue noir,,,1,,,Pinson des arbres
Valgaudemar,Tirière,,7,Vincent Dominique,Huchon Florence,21/06/2021,9h15,1,1,2,1,100,Rouge-queue noir,1,1,,,,Pipit des arbres
Valgaudemar,Tirière,,7,Vincent Dominique,Huchon Florence,21/06/2021,9h15,1,1,2,1,100,Monticole de roche,1,1,,,,Pouillot véloce
Valgaudemar,Tirière,,7,Vincent Dominique,Huchon Florence,21/06/2021,9h15,1,1,2,1,100,Pipit spioncelle,1,1,,,,Rouge-gorge familier
Valgaudemar,Tirière,,7,Vincent Dominique,Huchon Florence,21/06/2021,9h15,1,1,2,1,100,Traquet motteux,1,1,,,,Rouge-queue noir
Valgaudemar,Tirière,,7,Vincent Dominique,Huchon Florence,21/06/2021,9h15,1,1,2,1,100,Linotte mélodieuse,2,,,,,Tarier patre
Valgaudemar,Tirière,,8,Vincent Dominique,Huchon Florence,21/06/2021,9h50,1,1,1,1,100,Pipit spioncelle,1,1,,,,Tarier des pres
Valgaudemar,Tirière,,8,Vincent Dominique,Huchon Florence,21/06/2021,9h50,1,1,1,1,100,Traquet motteux,1,2,,,,Traquet motteux
Valgaudemar,Tirière,,8,Vincent Dominique,Huchon Florence,21/06/2021,9h50,1,1,1,1,100,Linotte mélodieuse,,,2,,,Troglodyte mignon
Valgaudemar,Tirière,,9,Vincent Dominique,Huchon Florence,21/06/2021,10h15,1,1,2,1,100,Pipit spioncelle,1,1,1,,,Vautour fauve
Valgaudemar,Tirière,,9,Vincent Dominique,Huchon Florence,21/06/2021,10h15,1,1,2,1,100,Traquet motteux,2,1,,,,
Valgaudemar,Tirière,,9,Vincent Dominique,Huchon Florence,21/06/2021,10h15,1,1,2,1,100,Chocard à bec jaune,,,1,,,
Valgaudemar,Tirière,,9,Vincent Dominique,Huchon Florence,21/06/2021,10h15,1,1,2,1,100,Rouge-queue noir,,1,,,,
Valgaudemar,Tirière,,10,Vincent Dominique,Huchon Florence,21/06/2021,10h45,1,1,2,1,100,chocard à bec jaune,,,3,,,
Valgaudemar,Tirière,,10,Vincent Dominique,Huchon Florence,21/06/2021,10h45,1,1,2,1,100,Pipit spioncelle,2,2,,,,
Valgaudemar,Tirière,,10,Vincent Dominique,Huchon Florence,21/06/2021,10h45,1,1,2,1,100,Monticole de roche,1,,,,,
